"","NAME","CONTRACT_START","CONTRACT_END","AVG_SALARY","AGE","GP","WR","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","MARGIN","sum"
"24","Julius Randle",2018,2019,13320500,23,82,0.426829268292683,26.7073170731707,16.1341463414634,6.14634146341463,11.0243902439024,55.8,0.121951219512195,0.548780487804878,22.2,3.71951219512195,5.18292682926829,71.8,2.20731707317073,5.76829268292683,7.97560975609756,2.5609756097561,2.59756097560976,0.524390243902439,0.548780487804878,3.34146341463415,-0.98780487804878,NA
"25","Garrett Temple",2016,2018,8e+06,30,80,0.5,24.3875,7.275,2.5125,6.3125,39.8,1.1125,3.225,34.5,1.1375,1.5625,72.8,0.45,2.2,2.65,1.75,0.8,0.8625,0.225,2.4375,-0.475,NA
"26","Montrezl Harrell",2018,2019,6e+06,24,76,0.513157894736842,17.0131578947368,11,4.57894736842105,7.21052631578947,63.5,0.0131578947368421,0.0921052631578947,14.3,1.82894736842105,2.92105263157895,62.6,1.35526315789474,2.67105263157895,4.02631578947368,0.973684210526316,0.894736842105263,0.473684210526316,0.684210526315789,1.88157894736842,0.697368421052632,NA
"27","Kentavious Caldwell-Pope",2019,2020,8139282,26,82,0.451219512195122,24.8170731707317,11.4390243902439,3.96341463414634,9.21951219512195,43,1.84146341463415,5.30487804878049,34.7,1.67073170731707,1.92682926829268,86.7,0.585365853658537,2.31707317073171,2.90243902439024,1.34146341463415,0.792682926829268,0.890243902439024,0.158536585365854,1.67073170731707,-1.90243902439024,NA
"28","Patrick McCaw",2018,2019,2482052,22,57,0.719298245614035,16.859649122807,4.01754385964912,1.6140350877193,3.94736842105263,40.9,0.333333333333333,1.40350877192982,23.8,0.456140350877193,0.596491228070175,76.5,0.280701754385965,1.15789473684211,1.43859649122807,1.42105263157895,0.719298245614035,0.754385964912281,0.175438596491228,1.17543859649123,-1.49122807017544,NA
"29","JaMychal Green",2017,2018,8300000,27,77,0.519480519480519,27.2857142857143,8.94805194805195,3.24675324675325,6.49350649350649,50,0.714285714285714,1.88311688311688,37.9,1.74025974025974,2.16883116883117,80.2,2.16883116883117,4.8961038961039,7.06493506493506,1.09090909090909,1.22077922077922,0.61038961038961,0.441558441558442,3.22077922077922,-0.363636363636364,NA
"30","Eric Bledsoe",2014,2018,1.4e+07,24,43,0.651162790697674,32.9302325581395,17.7441860465116,6.16279069767442,12.9302325581395,47.7,1.16279069767442,3.25581395348837,35.7,4.25581395348837,5.51162790697674,77.2,0.627906976744186,4.06976744186047,4.69767441860465,5.46511627906977,3.32558139534884,1.6046511627907,0.325581395348837,2.30232558139535,3.16279069767442,NA
"31","E'Twaun Moore",2012,2013,823244,23,38,0.631578947368421,8.71052631578947,2.89473684210526,1.13157894736842,2.97368421052632,38.1,0.447368421052632,1.18421052631579,37.8,0.184210526315789,0.184210526315789,100,0.105263157894737,0.763157894736842,0.868421052631579,0.894736842105263,0.552631578947368,0.289473684210526,0.0789473684210526,0.868421052631579,0.815789473684211,NA
"32","Al Horford",2011,2015,1.2e+07,25,77,0.532467532467532,35.1168831168831,15.2987012987013,6.66233766233766,11.961038961039,55.7,0.025974025974026,0.051948051948052,50,1.94805194805195,2.44155844155844,79.8,2.36363636363636,6.96103896103896,9.32467532467532,3.45454545454545,1.54545454545455,0.766233766233766,1.03896103896104,2.50649350649351,0.571428571428571,NA
"33","Kawhi Leonard",2015,2019,21754050.8,24,64,0.71875,31.765625,16.515625,6.15625,12.84375,47.9,1.046875,3,34.9,3.15625,3.9375,80.2,1.328125,5.875,7.203125,2.515625,1.515625,2.3125,0.75,2,6.875,NA
